trip_instance_id,recon_mse,split,y
2026-03-11_1364748_U_17,0.17348671,history,0
2026-03-11_1364748_U_18,0.16400996,history,0
2026-03-11_1364748_U_21,0.13692951,history,1
2026-03-11_1364748_U_23,0.15123886,history,0
2026-03-11_1364748_U_38,0.17201376,history,0
2026-03-11_1364748_U_39,0.1828543,history,1
2026-03-11_1364748_U_42,0.21837586,history,0
2026-03-11_1364748_U_44,0.14943089,history,1
2026-03-11_1364748_U_57,0.16565895,history,0
2026-03-11_1364748_U_58,0.12165599,history,0
2026-03-11_1364748_U_9,0.24281299,history,0
2026-03-11_1364749_U_1,0.364635,history,0
2026-03-11_1364749_U_10,0.58040786,history,0
2026-03-11_1364749_U_11,0.29152322,history,1
2026-03-11_1364749_U_13,0.24411361,history,0
2026-03-11_1364749_U_14,0.55074406,history,0
2026-03-11_1364749_U_16,0.2431438,history,1
2026-03-11_1364749_U_18,0.34954366,history,0
2026-03-11_1364749_U_19,0.19057159,history,0
2026-03-11_1364749_U_2,0.311669,history,0
2026-03-11_1364749_U_21,0.20538038,history,0
2026-03-11_1364749_U_22,0.13609987,history,1
2026-03-11_1364749_U_24,0.31402913,history,0
2026-03-11_1364749_U_25,0.21832359,history,0
2026-03-11_1364749_U_26,0.21953115,history,0
2026-03-11_1364749_U_27,0.32339844,history,0
2026-03-11_1364749_U_28,0.23760617,history,0
2026-03-11_1364749_U_29,0.15872195,history,0
2026-03-11_1364749_U_3,0.15839039,history,0
2026-03-11_1364749_U_32,0.28868115,history,0
2026-03-11_1364749_U_35,0.29719478,history,0
2026-03-11_1364749_U_36,0.2594013,history,0
2026-03-11_1364749_U_37,0.11908054,history,0
2026-03-11_1364749_U_38,0.21146446,history,0
2026-03-11_1364749_U_40,0.42346758,history,0
2026-03-11_1364749_U_43,0.22481667,history,0
2026-03-11_1364749_U_44,0.29403672,history,0
2026-03-11_1364749_U_45,0.20134315,history,1
2026-03-11_1364749_U_46,0.2324239,history,0
2026-03-11_1364749_U_47,0.21767978,history,0
2026-03-11_1364749_U_48,0.23334675,history,0
2026-03-11_1364749_U_5,0.27238175,history,0
2026-03-11_1364749_U_51,0.28562957,history,0
2026-03-11_1364749_U_54,0.20308146,history,1
2026-03-11_1364749_U_57,0.1604791,history,0
2026-03-11_1364749_U_58,0.21889453,history,1
2026-03-11_1364749_U_8,0.15967727,history,1
2026-03-11_1364749_U_9,0.3237735,history,0
2026-03-11_1364751_U_1,0.8201903,history,0
2026-03-11_1364751_U_10,0.19860253,history,1
2026-03-11_1364751_U_100,1.0606425,history,1
2026-03-11_1364751_U_101,0.5322684,history,1
2026-03-11_1364751_U_13,0.31620157,history,0
2026-03-11_1364751_U_15,0.42147037,history,1
2026-03-11_1364751_U_16,0.24075018,history,1
2026-03-11_1364751_U_19,0.5199312,history,0
2026-03-11_1364751_U_21,0.37196702,history,1
2026-03-11_1364751_U_23,0.15111798,history,1
2026-03-11_1364751_U_27,0.40721917,history,1
2026-03-11_1364751_U_29,0.35333318,history,1
2026-03-11_1364751_U_3,0.52014184,history,1
2026-03-11_1364751_U_30,0.95827377,history,1
2026-03-11_1364751_U_37,0.45899123,history,0
2026-03-11_1364751_U_39,0.51457477,history,1
2026-03-11_1364751_U_4,0.29706743,history,0
2026-03-11_1364751_U_40,0.41015157,history,0
2026-03-11_1364751_U_42,0.7658779,history,1
2026-03-11_1364751_U_43,0.26667178,history,0
2026-03-11_1364751_U_46,0.7534015,history,0
2026-03-11_1364751_U_47,0.3189714,history,1
2026-03-11_1364751_U_49,0.43656987,history,1
2026-03-11_1364751_U_50,0.31664973,history,0
2026-03-11_1364751_U_51,0.40826517,history,0
2026-03-11_1364751_U_52,0.35013366,history,0
2026-03-11_1364751_U_53,0.45207152,history,1
2026-03-11_1364751_U_54,0.2590433,history,0
2026-03-11_1364751_U_55,0.37906379,history,1
2026-03-11_1364751_U_56,0.50725186,history,1
2026-03-11_1364751_U_57,0.25337738,history,1
2026-03-11_1364751_U_65,0.527239,history,1
2026-03-11_1364751_U_66,0.29938853,history,1
2026-03-11_1364751_U_7,0.36741012,history,0
2026-03-11_1364751_U_70,0.94370115,history,1
2026-03-11_1364751_U_74,1.0383596,history,0
2026-03-11_1364751_U_77,0.29656357,history,0
2026-03-11_1364751_U_78,0.3384282,history,0
2026-03-11_1364751_U_83,0.47046816,history,1
2026-03-11_1364751_U_87,0.5906346,history,0
2026-03-11_1364751_U_88,0.28373122,history,1
2026-03-11_1364751_U_9,0.32555866,history,1
2026-03-11_1364751_U_93,0.14493912,history,0
2026-03-11_1364751_U_94,0.21058905,history,1
2026-03-11_1364751_U_96,0.48916185,history,0
2026-03-11_1364751_U_97,0.47482294,history,1
2026-03-11_1364751_U_98,0.4329328,history,0
2026-03-11_1364755_U_1,0.35210103,history,1
2026-03-11_1364755_U_10,0.3867442,history,0
2026-03-11_1364755_U_11,0.4067521,history,1
2026-03-11_1364755_U_14,0.34382588,history,0
2026-03-11_1364755_U_15,0.3794098,history,1
2026-03-11_1364755_U_16,0.3092735,history,1
2026-03-11_1364755_U_17,0.39338017,history,1
2026-03-11_1364755_U_19,0.2201569,history,1
2026-03-11_1364755_U_2,0.67388654,history,0
2026-03-11_1364755_U_20,0.99881685,history,1
2026-03-11_1364755_U_24,0.3694594,history,0
2026-03-11_1364755_U_25,0.28559786,history,0
2026-03-11_1364755_U_26,0.2037307,history,1
